Image File,Follows Benford's Law,Chi-square Statistic,P-value,Probability 1,Probability 2,Probability 3,Probability 4,Probability 5,Probability 6,Probability 7,Probability 8,Probability 9
real_00001.jpg,True,0.0023967851883373932,0.9999999999999142,0.3180048627995832,0.17601111497047586,0.11736575199722125,0.09012018061827023,0.0745897881208753,0.06480861410211879,0.05884543244182008,0.05190691212226468,0.04834734282737062
real_00002.jpg,True,0.004227868334924445,0.9999999999991693,0.2799010960007779,0.1666810207114976,0.12718887607828974,0.10407978996791177,0.08704107571990165,0.0727166650460487,0.061681645806998295,0.053644306769089725,0.047065523899484644
real_00003.jpg,True,0.0004004182485359901,0.9999999999999999,0.2954310574743299,0.17266191047695248,0.12496666222162955,0.09920211583766725,0.08069131439747522,0.06944259234564609,0.059480152909276794,0.05182079832866605,0.04630339600835667
real_00004.jpg,True,0.00034956487639699487,1.0,0.30838522173783783,0.17452286285068086,0.12242607117949915,0.09458832420597543,0.07750891202449521,0.06679781165690026,0.058145576496150396,0.05107986229776026,0.0465453575507006
real_00005.jpg,True,0.005659191776455372,0.9999999999973349,0.27986142365799316,0.1622187772610336,0.12688847771610187,0.10498797041778489,0.08740755557778111,0.07461119167875181,0.06329282725742194,0.05356914648308357,0.047162629950048066
real_00006.jpg,True,0.00047865377329007303,0.9999999999999999,0.30519357832322885,0.18118897712180404,0.12579951431762737,0.09496924196873628,0.07657555028257379,0.06523647841380804,0.05624802031641595,0.04993803937694843,0.044850599878857256
real_00007.jpg,True,0.0018568087527772747,0.999999999999969,0.2884079512147689,0.16807012182416758,0.12678603675561545,0.10171831807637279,0.08386003417188737,0.0705830057369876,0.06067871480365056,0.05310533553737377,0.046790481879175984
real_00008.jpg,True,0.01237580022218141,0.9999999999392127,0.27029099456017425,0.15552400691230156,0.12604115153165268,0.10652390133856386,0.09187693436091772,0.0774411148586701,0.06703376692652624,0.05676811006339981,0.04850001944779379
real_00009.jpg,True,0.0018617777633530104,0.9999999999999687,0.3074452806182686,0.16619024204593122,0.11802829656668695,0.09447653018420826,0.07970875593447287,0.06988301900420309,0.06053787367385887,0.05459576134876783,0.049134240623602325
real_00010.jpg,True,0.0014897226788712368,0.9999999999999872,0.31165529275774684,0.183459854176855,0.12430533943893655,0.094023696261059,0.07499833281465344,0.0633419286000089,0.0548309474058596,0.04909860845596408,0.044286000088916554
real_00011.jpg,True,0.0024808875115528463,0.9999999999999014,0.3174599206051565,0.17373525236614967,0.11651151614148839,0.08994563481149975,0.07521675236753868,0.06591049884296878,0.0597128117942179,0.053581796412508716,0.04792581665847161
real_00012.jpg,True,8.249763937681274e-05,1.0,0.2983195028239798,0.17537845218681328,0.1257247473975769,0.09824893805580173,0.08007156489875067,0.0671115395621095,0.05889380002389201,0.05054270974266085,0.04570874530841527
real_00013.jpg,True,0.023523073508891417,0.9999999992101231,0.2944523154707337,0.13599188821290664,0.1100619496069117,0.09912770508653498,0.08839625524349251,0.08098174847903993,0.07179209378559324,0.06313581687362836,0.056060227241158986
real_00014.jpg,True,0.001072720549646858,0.9999999999999966,0.31122301518486406,0.17354765557260055,0.11875819827030391,0.09290446652882456,0.07713043864914738,0.06695902532292848,0.05888859245425643,0.05253562773738856,0.048052980279686075
real_00015.jpg,True,0.009225745574473454,0.9999999999812037,0.26830563860112633,0.16492247792532852,0.13112424389904748,0.10846972119863728,0.09017033998470417,0.07556420774525481,0.06384203573663352,0.05256483348397414,0.04503650142529375
real_00016.jpg,True,0.013500556929815534,0.999999999913954,0.259314891308883,0.16929389021015007,0.1386795733021794,0.11331414027621313,0.09168161778000306,0.07443568239662869,0.06054714120804996,0.050207924785468906,0.04252513873242375
real_00017.jpg,True,0.001335475229302181,0.9999999999999917,0.31215800487442924,0.1714026072916348,0.11867317702181822,0.09238905393275289,0.07741560762234012,0.06716652261996404,0.05974927536634643,0.053012891948298814,0.048032859322415425
real_00018.jpg,True,0.0007088844155053967,0.9999999999999993,0.29090025142031645,0.17518578711227792,0.12874387076162297,0.10038199219346863,0.08185467627897931,0.06818907919045436,0.05851286966426359,0.05088413829506466,0.04534733508355211
real_00019.jpg,True,0.0008913982829070459,0.9999999999999983,0.2910787165531746,0.17692540639056278,0.12992829300683176,0.1010482389973801,0.08173652611429222,0.06772574089354526,0.057529512109063534,0.049825386109235786,0.04420217982591398
real_00020.jpg,True,0.0004451909604217804,0.9999999999999999,0.3014522631355214,0.1817509953573145,0.12721402752270639,0.09636559133809919,0.07791987686186691,0.06496147765759708,0.05587337221223546,0.04987761203152914,0.04458478388312991
real_00021.jpg,True,0.0012775220447730894,0.9999999999999931,0.3113199682082692,0.16957720332812734,0.1187326660034126,0.09366055101961417,0.07818709322424842,0.06763523991084976,0.05982069908459824,0.05280650952362426,0.04826006969725602
real_00022.jpg,True,0.002754627035212588,0.9999999999998502,0.29727492200370603,0.188507944092701,0.1323617250029865,0.09946020730484258,0.07729342441929919,0.06250260450669949,0.05318194319813976,0.04682277964067531,0.04259444983095015
real_00023.jpg,True,0.0003568492705748823,1.0,0.3077352718057304,0.17768311422704247,0.12319970211548027,0.09524801942918434,0.07661634307849202,0.06508443303294792,0.057653992680710586,0.05079875844399799,0.04598036518641402
real_00024.jpg,True,0.0003381753962476923,1.0,0.3078831763885377,0.17716932532725005,0.12252808473629662,0.0944252875160117,0.07712014404281273,0.0662085675464652,0.05756988882806834,0.051304137618681106,0.04579138799587655
