Image,1,2,3,4,5,6,7,8,9
real_00001.jpg,0.318,0.176,0.117,0.09,0.075,0.065,0.059,0.052,0.048
real_00002.jpg,0.279901096,0.166681021,0.127188876,0.10407979,0.087041076,0.072716665,0.061681646,0.053644307,0.047065524
real_00003.jpg,0.295431057,0.17266191,0.124966662,0.099202116,0.080691314,0.069442592,0.059480153,0.051820798,0.046303396
real_00004.jpg,0.308385222,0.174522863,0.122426071,0.094588324,0.077508912,0.066797812,0.058145576,0.051079862,0.046545358
real_00005.jpg,0.279861424,0.162218777,0.126888478,0.10498797,0.087407556,0.074611192,0.063292827,0.053569146,0.04716263
real_00006.jpg,0.305193578,0.181188977,0.125799514,0.094969242,0.07657555,0.065236478,0.05624802,0.049938039,0.0448506
real_00007.jpg,0.288407951,0.168070122,0.126786037,0.101718318,0.083860034,0.070583006,0.060678715,0.053105336,0.046790482
real_00008.jpg,0.270290995,0.155524007,0.126041152,0.106523901,0.091876934,0.077441115,0.067033767,0.05676811,0.048500019
real_00009.jpg,0.307445281,0.166190242,0.118028297,0.09447653,0.079708756,0.069883019,0.060537874,0.054595761,0.049134241
real_00010.jpg,0.311655293,0.183459854,0.124305339,0.094023696,0.074998333,0.063341929,0.054830947,0.049098608,0.044286
real_00011.jpg,0.317459921,0.173735252,0.116511516,0.089945635,0.075216752,0.065910499,0.059712812,0.053581796,0.047925817
real_00012.jpg,0.298319503,0.175378452,0.125724747,0.098248938,0.080071565,0.06711154,0.0588938,0.05054271,0.045708745
real_00013.jpg,0.294452315,0.135991888,0.11006195,0.099127705,0.088396255,0.080981748,0.071792094,0.063135817,0.056060227
real_00014.jpg,0.311223015,0.173547656,0.118758198,0.092904467,0.077130439,0.066959025,0.058888592,0.052535628,0.04805298
real_00015.jpg,0.268305639,0.164922478,0.131124244,0.108469721,0.09017034,0.075564208,0.063842036,0.052564833,0.045036501
real_00016.jpg,0.259314891,0.16929389,0.138679573,0.11331414,0.091681618,0.074435682,0.060547141,0.050207925,0.042525139
real_00017.jpg,0.312158005,0.171402607,0.118673177,0.092389054,0.077415608,0.067166523,0.059749275,0.053012892,0.048032859
real_00018.jpg,0.290900251,0.175185787,0.128743871,0.100381992,0.081854676,0.068189079,0.05851287,0.050884138,0.045347335
real_00019.jpg,0.291078717,0.176925406,0.129928293,0.101048239,0.081736526,0.067725741,0.057529512,0.049825386,0.04420218
real_00020.jpg,0.301452263,0.181750995,0.127214028,0.096365591,0.077919877,0.064961478,0.055873372,0.049877612,0.044584784
real_00021.jpg,0.311319968,0.169577203,0.118732666,0.093660551,0.078187093,0.06763524,0.059820699,0.05280651,0.04826007
real_00022.jpg,0.297274922,0.188507944,0.132361725,0.099460207,0.077293424,0.062502605,0.053181943,0.04682278,0.04259445
real_00023.jpg,0.307735272,0.177683114,0.123199702,0.095248019,0.076616343,0.065084433,0.057653993,0.050798758,0.045980365
real_00024.jpg,0.307883176,0.177169325,0.122528085,0.094425288,0.077120144,0.066208568,0.057569889,0.051304138,0.045791388
real_00025.jpg,0.291931747,0.165168327,0.123768593,0.100132239,0.084219095,0.071450796,0.062319074,0.053879107,0.047131022
real_00026.jpg,0.30524827,0.173414918,0.122532796,0.096073315,0.078378085,0.066848954,0.05899614,0.051729648,0.046777873
real_00027.jpg,0.315605606,0.180568795,0.120620989,0.091236281,0.074510927,0.063510768,0.056318143,0.050851414,0.046777076
real_00028.jpg,0.310227712,0.167864101,0.117671909,0.093021898,0.079291934,0.06861369,0.06068144,0.054116627,0.048510688
real_00029.jpg,0.299778561,0.174303107,0.124772518,0.097341346,0.0798513,0.066934505,0.059632862,0.051381005,0.046004796
real_00030.jpg,0.293225208,0.185933124,0.132770481,0.100493955,0.078457683,0.064697515,0.05492399,0.047220185,0.042277859
real_00031.jpg,0.292011746,0.177751354,0.128632192,0.09997194,0.081046616,0.067997255,0.057570546,0.050449935,0.044568415
real_00032.jpg,0.299710799,0.156657601,0.116275,0.097069928,0.083718333,0.07427276,0.064757735,0.057040146,0.050497698
real_00033.jpg,0.321447629,0.177999311,0.117404451,0.089740312,0.074315761,0.063799275,0.057779532,0.050951042,0.046562688
real_00034.jpg,0.284750274,0.171141313,0.128241386,0.102813137,0.084974747,0.070889614,0.060543847,0.051420459,0.045225223
real_00035.jpg,0.307710265,0.166411446,0.118512363,0.095589727,0.079448278,0.06818984,0.061161306,0.054366223,0.048610551
real_00036.jpg,0.309206725,0.15440196,0.111290753,0.094464631,0.082591617,0.07456886,0.064482077,0.057876081,0.051117297
real_00037.jpg,0.310465943,0.169699226,0.118500467,0.094002868,0.078622399,0.067899142,0.059512827,0.052899364,0.048397764
real_00038.jpg,0.290056484,0.174567894,0.12886923,0.100565954,0.081528549,0.068506319,0.059045963,0.05147212,0.045387486
real_00039.jpg,0.31499433,0.165287258,0.112457478,0.091207728,0.078517909,0.069129777,0.062067835,0.056089779,0.050247904
real_00040.jpg,0.287790544,0.16345531,0.123895995,0.101564303,0.085551537,0.073227823,0.062944625,0.054309964,0.047259899
real_00041.jpg,0.292208748,0.153066356,0.117370227,0.100484783,0.087347029,0.075573336,0.065655429,0.057662763,0.050631329
real_00042.jpg,0.319594446,0.180198553,0.120179604,0.089649155,0.07329197,0.063203141,0.05664304,0.050899826,0.046340264
real_00043.jpg,0.308715099,0.162255869,0.115971663,0.094404778,0.081077927,0.070345881,0.062153077,0.055646618,0.049429087
real_00044.jpg,0.266613511,0.166265683,0.133799882,0.109471368,0.090457511,0.074527432,0.06168391,0.052160312,0.045020392
real_00045.jpg,0.317394144,0.169055461,0.114717694,0.089884799,0.077002821,0.068053529,0.060282653,0.053984797,0.049624102
real_00046.jpg,0.317646405,0.179948593,0.120283432,0.090378604,0.07398958,0.063563737,0.056519625,0.051409517,0.046260507
real_00047.jpg,0.295836355,0.174696971,0.127056889,0.099741908,0.080497515,0.067412328,0.058349933,0.051057233,0.045350869
real_00048.jpg,0.308769113,0.168062161,0.117549338,0.094436172,0.079476509,0.068906125,0.060197018,0.054063139,0.048540426
real_00049.jpg,0.299190484,0.162689461,0.120574607,0.097080852,0.082687906,0.071217442,0.063058383,0.054865988,0.048634879
real_00050.jpg,0.304425049,0.168807849,0.119145565,0.095997443,0.079528588,0.069394335,0.061280818,0.053403563,0.048016789
real_00051.jpg,0.297444231,0.166413868,0.121924049,0.09758591,0.082234631,0.071144818,0.061388449,0.053707253,0.048156791
real_00052.jpg,0.290300624,0.167839511,0.124661412,0.100641476,0.084233687,0.070215113,0.061058311,0.053546177,0.047503688
real_00053.jpg,0.304860903,0.17950663,0.125707157,0.096192747,0.077576051,0.065055628,0.056211308,0.049814944,0.045074634
real_00054.jpg,0.304317624,0.176833927,0.123301945,0.095846867,0.078314073,0.066916368,0.057208035,0.050614481,0.046646679
real_00055.jpg,0.289886879,0.16028647,0.1202468,0.100545048,0.086002089,0.074087141,0.063969575,0.05576329,0.049212708
real_00056.jpg,0.303754627,0.179475708,0.126004513,0.095079972,0.077949071,0.064950149,0.057211373,0.05014505,0.045429537
real_00057.jpg,0.356563263,0.158200016,0.095099464,0.078462474,0.071437104,0.066014595,0.062319956,0.057800273,0.054102855
real_00058.jpg,0.28364487,0.172764047,0.129848084,0.10328225,0.084845639,0.070218039,0.059541141,0.051320235,0.044535695
real_00059.jpg,0.314104203,0.17504641,0.119715648,0.092403206,0.075728943,0.06556598,0.058129259,0.051509577,0.047796774
real_00060.jpg,0.278429661,0.160948944,0.125560975,0.1041786,0.089322159,0.075405542,0.064147124,0.055182654,0.046824342
real_00061.jpg,0.286660425,0.15605944,0.122344489,0.101856045,0.087290497,0.075775297,0.065354665,0.055811912,0.04884723
real_00062.jpg,0.314043752,0.161610575,0.113558479,0.092229785,0.080381437,0.069705973,0.062721479,0.055992685,0.049755835
real_00063.jpg,0.286461647,0.181292074,0.134433353,0.102474627,0.081409596,0.066206766,0.056241023,0.048625716,0.042855198
real_00064.jpg,0.308567364,0.175520786,0.120387119,0.093656655,0.077223811,0.0667039,0.05870699,0.052332803,0.046900572
real_00065.jpg,0.305571841,0.1758021,0.123331824,0.095635164,0.07815526,0.066515884,0.057718971,0.051394975,0.045873981
real_00066.jpg,0.306428758,0.180834866,0.125371617,0.094353095,0.076626639,0.064159772,0.056713548,0.050350917,0.045160788
real_00067.jpg,0.296364652,0.16343361,0.120078494,0.099496071,0.083416488,0.071984279,0.06244771,0.054940198,0.047838498
real_00068.jpg,0.287376057,0.165309507,0.12565045,0.101799452,0.08538852,0.072150313,0.061276369,0.053900201,0.047149132
real_00069.jpg,0.29570726,0.175927315,0.127040093,0.099046984,0.080586813,0.06753355,0.058031174,0.05094607,0.04518074
real_00070.jpg,0.281055702,0.169451313,0.12883456,0.103811641,0.085995277,0.071429365,0.061158494,0.052171135,0.046092513
real_00071.jpg,0.254878452,0.168208207,0.137561928,0.114095285,0.093535546,0.076336133,0.061431643,0.051333977,0.042618828
real_00072.jpg,0.305947733,0.178354196,0.122800339,0.095052586,0.077524765,0.066118343,0.05812968,0.050393876,0.045678481
real_00073.jpg,0.314085892,0.173029687,0.118546675,0.092733376,0.075886655,0.065797517,0.058398075,0.052832516,0.048689607
real_00074.jpg,0.308578446,0.178129046,0.121910965,0.093653272,0.077029302,0.065815139,0.057371173,0.051200049,0.046312607
real_00075.jpg,0.290337099,0.164409897,0.122768465,0.100168355,0.084738605,0.072556493,0.062352412,0.054406952,0.048261722
real_00076.jpg,0.292700614,0.178793411,0.129994693,0.099470141,0.081126513,0.066658887,0.057145318,0.049885109,0.044225314
real_00077.jpg,0.329555272,0.167895926,0.109219303,0.087025971,0.074883394,0.066429982,0.06006006,0.054865226,0.050064866
real_00078.jpg,0.325401081,0.172386204,0.114397233,0.087508508,0.073990527,0.064811857,0.058877946,0.053213507,0.049413137
real_00079.jpg,0.310549257,0.160004334,0.113401804,0.093624552,0.080561953,0.071255337,0.064135082,0.056225848,0.050241833
real_00080.jpg,0.312304145,0.168679853,0.116401822,0.092665852,0.077175242,0.068296477,0.060887321,0.054750528,0.04883876
real_00081.jpg,0.312395266,0.170745806,0.118430743,0.09338343,0.077187298,0.066221282,0.059651678,0.053390544,0.048593955
real_00082.jpg,0.298876348,0.179184102,0.127074893,0.098141696,0.079808724,0.066288226,0.056888341,0.049422336,0.044315334
real_00083.jpg,0.293255539,0.177164687,0.128987984,0.100229214,0.081322498,0.067850247,0.057325832,0.04992429,0.04393971
real_00084.jpg,0.311949238,0.174968607,0.120139684,0.09224183,0.076234318,0.066516463,0.058534932,0.052500861,0.046914067
real_00085.jpg,0.314776214,0.178339559,0.120344739,0.091593294,0.075020567,0.064778993,0.057683542,0.051280127,0.046182964
real_00086.jpg,0.294215537,0.1633935,0.122801412,0.100064732,0.083809561,0.071821685,0.061686859,0.054583036,0.047623678
real_00087.jpg,0.293107664,0.176197991,0.128153338,0.101331903,0.080342061,0.067575902,0.05767692,0.050306166,0.045308055
